PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
1629673,Jordan Poole,29.42,6.72,15.54,0.42,3.46,9.15,0.37,3.56,4.03,0.77,0.46,2.53,2.99,4.46,3.0,1.26,0.4,1.0,2.96,4.22,20.46
1629674,Neemias Queta,13.92,2.13,3.27,0.54,0.0,0.05,0.0,0.74,0.98,0.31,1.44,2.37,3.81,0.73,0.65,0.29,0.68,0.21,1.71,0.94,5.0
1629675,Naz Reid,27.5,5.32,11.54,0.45,2.19,5.78,0.36,1.39,1.79,0.51,1.15,4.85,6.0,2.26,1.35,0.72,0.9,0.51,2.36,1.49,14.22
1629680,Matisse Thybulle,20.82,2.8,5.87,0.42,1.4,3.2,0.42,0.47,1.0,0.14,0.93,2.53,3.47,1.87,0.87,2.2,0.6,0.2,0.93,0.87,7.47
1629684,Grant Williams,29.94,3.38,7.69,0.44,1.69,4.62,0.36,1.94,2.31,0.58,1.12,4.0,5.12,2.31,1.75,1.12,0.81,0.38,2.88,2.69,10.38
1629723,John Konchar,12.14,0.89,1.98,0.37,0.5,1.35,0.29,0.15,0.17,0.1,0.8,2.48,3.28,0.91,0.35,0.65,0.3,0.11,0.7,0.37,2.43
1629726,Garrison Mathews,17.65,2.17,5.47,0.35,1.81,4.64,0.35,1.36,1.66,0.45,0.28,1.57,1.85,1.28,0.66,0.55,0.32,0.09,1.72,1.45,7.51
1629731,Dean Wade,21.23,1.9,4.59,0.43,1.36,3.76,0.36,0.27,0.51,0.15,0.86,3.36,4.22,1.29,0.37,0.71,0.34,0.15,1.71,0.54,5.42
1629750,Javonte Green,18.5,1.81,4.22,0.4,0.68,2.07,0.29,0.81,1.12,0.33,0.87,2.34,3.21,0.82,0.47,0.96,0.46,0.21,1.44,1.06,5.1
1630162,Anthony Edwards,36.34,9.13,20.41,0.45,4.05,10.27,0.39,5.25,6.28,0.78,0.77,4.92,5.7,4.54,3.15,1.15,0.65,0.7,1.9,4.34,27.56
1630163,LaMelo Ball,32.01,8.64,21.34,0.4,3.81,11.23,0.34,4.11,4.87,0.77,1.0,3.94,4.94,7.36,3.55,1.15,0.28,0.91,3.34,4.7,25.19
1630164,James Wiseman,4.63,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
1630165,Killian Hayes,27.06,3.0,7.17,0.38,1.33,3.5,0.25,1.67,2.0,0.67,0.83,2.17,3.0,5.17,1.5,0.67,0.67,0.17,2.17,2.0,9.0
1630166,Deni Avdija,30.02,5.58,11.72,0.46,1.74,4.75,0.34,4.03,5.17,0.74,1.53,5.72,7.25,3.9,2.72,0.99,0.49,0.9,2.38,4.1,16.93
1630167,Obi Toppin,19.55,4.01,7.58,0.51,1.39,3.81,0.3,1.13,1.44,0.41,0.71,3.32,4.03,1.62,0.86,0.58,0.35,0.32,1.37,1.13,10.54
1630168,Onyeka Okongwu,27.89,5.24,9.24,0.56,0.65,2.0,0.24,2.22,2.92,0.54,2.97,5.95,8.92,2.27,1.22,0.93,0.92,0.68,2.61,2.26,13.35
1630169,Tyrese Haliburton,33.57,6.52,13.78,0.45,2.99,7.7,0.37,2.59,3.04,0.66,0.58,2.96,3.53,9.22,1.64,1.44,0.67,0.32,1.26,2.4,18.62
1630170,Devin Vassell,30.99,6.16,13.89,0.43,2.47,6.7,0.36,1.48,1.88,0.52,0.53,3.45,3.98,2.86,1.38,1.31,0.52,0.45,1.69,1.53,16.27
1630171,Isaac Okoro,19.15,2.25,4.85,0.47,1.02,2.75,0.34,0.6,0.84,0.25,0.89,1.47,2.36,1.24,0.42,0.58,0.29,0.35,1.89,0.8,6.13
1630172,Patrick Williams,25.02,3.25,8.19,0.39,1.52,4.32,0.33,0.95,1.32,0.39,0.68,3.08,3.76,1.97,1.37,0.76,0.51,0.59,1.4,1.06,8.98
1630173,Precious Achiuwa,20.52,2.88,5.74,0.5,0.18,0.63,0.11,0.72,1.21,0.32,1.77,3.79,5.56,0.96,0.79,0.82,0.74,0.42,1.42,0.89,6.65
1630174,Aaron Nesmith,24.92,4.27,8.42,0.49,1.87,4.33,0.43,1.62,1.78,0.52,0.82,3.13,3.96,1.2,0.82,0.78,0.38,0.49,2.53,1.71,12.02
1630175,Cole Anthony,18.42,3.43,8.1,0.4,1.15,3.25,0.33,1.39,1.69,0.45,0.69,2.36,3.04,2.85,1.54,0.67,0.48,0.21,2.25,1.57,9.4
1630178,Tyrese Maxey,37.7,9.17,20.98,0.43,3.1,9.19,0.33,4.88,5.56,0.87,0.29,3.06,3.35,6.1,2.38,1.75,0.4,1.17,2.23,4.31,26.33
